league,season,club,name,nation,pos,age,born,minute_90s,goals_against,pk_allowed,fk_goals_against,ck_goals_against,og_against,psxg,psxg_per_shot,psxg_net,psxg_net_per90,launched_passes_completed,launched_passes_att,launched_passes_completed_pct,passes_att_gk,throws_attempted,launch_pass_pct,avg_pass_len,goal_kicks_att, goal_kicks_launch_pct,goal_kicks_avg_len,crosses_faced,crosses_stopped,crosses_stopped_pct,def_act_outside_pen_area,def_act_outside_pen_area_per90,avg_distance_def_actions
ENG-Premier League,2324,Tottenham,Guglielmo Vicario,ITA,GK,26,1996,38.0,61,7,1,8,3,60.0,0.32,2.0,0.05,53,225,23.6,1363,193,14.3,24.0,201,14.9,22.2,511,33,6.5,81,2.13,17.1
ENG-Premier League,2324,West Ham,Alphonse Areola,FRA,GK,30,1993,30.0,53,5,0,3,3,52.1,0.24,2.1,0.07,160,430,37.2,643,144,43.9,36.8,219,67.6,47.3,468,27,5.8,7,0.23,8.9
ENG-Premier League,2324,West Ham,Łukasz Fabiański,POL,GK,38,1985,8.0,21,3,0,3,1,19.8,0.33,-0.2,-0.02,50,123,40.7,182,44,50.0,39.0,56,57.1,45.1,114,8,7.0,1,0.12,7.6
ENG-Premier League,2324,Wolves,Daniel Bentley,ENG,GK,30,1993,4.3,7,0,0,0,0,5.8,0.39,-1.2,-0.28,13,56,23.2,111,9,36.0,33.8,33,48.5,36.9,50,0,0.0,3,0.7,13.3
ENG-Premier League,2324,Wolves,José Sá,POR,GK,30,1993,33.7,58,8,1,7,1,65.9,0.31,8.9,0.26,87,424,20.5,841,190,33.3,33.0,253,56.9,42.6,522,45,8.6,28,0.83,12.6
ESP-La Liga,1819,Alavés,Antonio Sivera,ESP,GK,21,1996,3.0,4,0,0,1,0,2.5,0.2,-1.5,-0.49,33,80,41.3,66,11,74.2,48.9,33,93.9,62.8,75,2,2.7,2,0.67,8.6
ESP-La Liga,1819,Alavés,Fernando Pacheco,ESP,GK,26,1992,35.0,46,6,3,1,2,50.0,0.3,6.0,0.17,292,714,40.9,749,87,61.0,42.8,294,87.4,56.0,557,19,3.4,40,1.14,15.6
ESP-La Liga,1819,Athletic Club,Iago Herrerín,ESP,GK,30,1988,31.0,32,3,0,4,0,29.5,0.31,-2.5,-0.08,316,723,43.7,767,89,68.7,46.9,209,93.8,64.3,419,18,4.3,34,1.1,17.3
ESP-La Liga,1819,Athletic Club,Unai Simón,ESP,GK,21,1997,7.0,13,2,0,2,0,13.3,0.34,0.3,0.04,42,102,41.2,134,34,43.3,36.7,55,80.0,56.8,89,4,4.5,2,0.29,11.1
ESP-La Liga,1819,Atlético Madrid,Antonio Adán,ESP,GK,31,1987,1.0,2,0,0,1,0,3.0,0.43,1.0,1.03,5,16,31.3,13,2,53.8,33.3,11,81.8,52.5,18,0,0.0,0,0.0,
ESP-La Liga,1819,Atlético Madrid,Jan Oblak,SVN,GK,25,1993,37.0,27,5,0,3,2,39.3,0.27,14.3,0.39,215,580,37.1,570,102,56.7,41.0,291,88.3,57.4,537,22,4.1,16,0.43,12.0
ESP-La Liga,1819,Barcelona,Jasper Cillessen,NED,GK,29,1989,3.0,4,1,0,0,0,2.9,0.14,-1.1,-0.36,11,21,52.4,87,14,14.9,26.0,24,33.3,33.1,45,0,0.0,6,2.0,15.8
ESP-La Liga,1819,Barcelona,Marc-André ter Stegen,GER,GK,26,1992,35.0,32,1,0,2,1,37.5,0.32,6.5,0.18,114,223,51.1,883,197,15.7,27.3,200,42.0,38.4,395,8,2.0,32,0.91,16.2
ESP-La Liga,1819,Betis,Joel Robles,ESP,GK,28,1990,5.0,5,1,0,1,0,6.0,0.24,1.0,0.19,22,56,39.3,158,22,28.5,30.6,27,40.7,36.9,60,2,3.3,12,2.4,18.7
ESP-La Liga,1819,Betis,Pau López,ESP,GK,23,1994,33.0,47,3,2,7,0,45.6,0.32,-1.4,-0.04,106,281,37.7,995,173,19.0,26.4,249,36.9,36.7,406,23,5.7,46,1.39,15.9
ESP-La Liga,1819,Celta Vigo,Rubén Blanco,ESP,GK,23,1995,25.0,40,4,3,3,0,40.7,0.34,0.7,0.03,166,432,38.4,595,114,44.5,38.0,220,75.9,56.8,351,12,3.4,30,1.2,15.6
ESP-La Liga,1819,Celta Vigo,Sergio Álvarez,ESP,GK,31,1986,13.0,22,2,1,2,1,19.1,0.3,-1.9,-0.15,91,237,38.4,330,47,43.9,36.5,128,71.9,52.1,230,8,3.5,7,0.54,12.9
